0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:06:51 +0530] "GET /papi-front/view/chatScreen.html HTTP/1.1" 200 2446
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:06:51 +0530] "GET /papi/group/getGroupList HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:06:51 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:08:51 +0530] "GET /papi-front/view/chatScreen.html HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:08:51 +0530] "GET /papi/group/getGroupList HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:08:51 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:08:52 +0530] "GET /papi-front/images/image1.jpg HTTP/1.1" 200 269302
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:08:56 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:08:56 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 2374
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:09:03 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:09:03 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:09:04 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:09:04 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:09:34 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:09:37 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 2733
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:09:47 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:17 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:26 +0530] "GET /papi-front/index.html? HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:26 +0530] "GET /papi-front/css/forms.css HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:26 +0530] "GET /papi-front/css/side-menu.css HTTP/1.1" 200 4703
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:26 +0530] "GET /papi-front/css/scheduler.css HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:26 +0530] "GET /papi-front/css/main.css HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:26 +0530] "GET /papi-front/js/base.js HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:26 +0530] "GET /papi-front/js/utility.js HTTP/1.1" 200 9659
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:42 +0530] "GET /papi-front/index.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:42 +0530] "GET /papi-front/js/utility.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:42 +0530] "GET /papi-front/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:47 +0530] "GET /papi-front/images/image1.jpg HTTP/1.1" 200 269302
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:49 +0530] "GET /papi-front/index.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:49 +0530] "GET /papi-front/js/utility.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:50 +0530] "GET /papi-front/view/common/side_menu.html HTTP/1.1" 200 3435
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:50 +0530] "GET /papi-front/view/home.html HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:50 +0530] "GET /papi-front/css/home.css HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:51 +0530] "GET /papi-front/view/chatScreen.html HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:51 +0530] "GET /papi/group/getGroupList HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:51 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:57 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:10:57 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:11:16 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:11:19 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 3097
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:11:36 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:11:38 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:12:02 +0530] "GET /papi-front/ HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:12:02 +0530] "GET /papi-front/css/login.css HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:12:03 +0530] "GET /papi-front/images/btightyellow.jpg HTTP/1.1" 200 103689
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:06 +0530] "GET /papi-front/ HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:06 +0530] "GET /papi-front/css/login.css HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:06 +0530] "GET /papi-front/images/btightyellow.jpg HTTP/1.1" 200 103689
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:09 +0530] "GET /papi-front/index.html? HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:09 +0530] "GET /papi-front/css/forms.css HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:09 +0530] "GET /papi-front/css/side-menu.css HTTP/1.1" 200 4703
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:09 +0530] "GET /papi-front/css/scheduler.css HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:09 +0530] "GET /papi-front/css/main.css HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:09 +0530] "GET /papi-front/js/utility.js HTTP/1.1" 200 9659
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:09 +0530] "GET /papi-front/js/base.js HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:10 +0530] "GET /papi-front/images/image1.jpg HTTP/1.1" 200 269302
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:10 +0530] "GET /papi-front/view/common/side_menu.html HTTP/1.1" 200 3435
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:10 +0530] "GET /papi-front/view/home.html HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:10 +0530] "GET /papi-front/css/home.css HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:13 +0530] "GET /papi-front/view/chatScreen.html HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:13 +0530] "GET /papi/group/getGroupList HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:13 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:30 +0530] "GET /papi/group/getGroupList HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:14:30 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:16:05 +0530] "GET /papi-front/view/chatScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:16:05 +0530] "GET /papi/group/getGroupList HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:16:05 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:16:16 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:16:20 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:10 +0530] "GET /papi-front/index.html? HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:10 +0530] "GET /papi-front/css/forms.css HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:10 +0530] "GET /papi-front/css/side-menu.css HTTP/1.1" 200 4703
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:10 +0530] "GET /papi-front/css/main.css HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:10 +0530] "GET /papi-front/css/scheduler.css HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:10 +0530] "GET /papi-front/js/base.js HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:10 +0530] "GET /papi-front/js/utility.js HTTP/1.1" 200 9659
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:11 +0530] "GET /papi-front/images/image1.jpg HTTP/1.1" 200 269302
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:11 +0530] "GET /papi-front/view/common/side_menu.html HTTP/1.1" 200 3435
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:11 +0530] "GET /papi-front/view/home.html HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:11 +0530] "GET /papi-front/css/home.css HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:13 +0530] "GET /papi-front/view/chatScreen.html HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:13 +0530] "GET /papi/group/getGroupList HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:13 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 3344
