127.0.0.1 - - [09/Apr/2018:12:53:37 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:53:37 +0530] "GET /papi-front/ HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:53:38 +0530] "GET /papi-front/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:53:38 +0530] "GET /papi-front/css/forms.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:53:38 +0530] "GET /papi-front/css/side-menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:53:38 +0530] "GET /papi-front/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:53:38 +0530] "GET /papi-front/css/scheduler.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:53:38 +0530] "GET /papi-front/js/utility.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:53:38 +0530] "GET /papi-front/images/image1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:53:38 +0530] "GET /papi-front/images/btightyellow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:53:38 +0530] "GET /papi-front/view/common/side_menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:53:38 +0530] "GET /papi-front/view/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:53:38 +0530] "GET /papi-front/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:53:38 +0530] "GET /css/side-menu.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:53:47 +0530] "GET /css/side-menu.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:54:00 +0530] "GET /papi-front/view/group_registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:12:54:00 +0530] "GET /papi-front/view/groupView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:13:01:03 +0530] "GET /papi-front/view/reaction.html HTTP/1.1" 200 2180
