127.0.0.1 - - [16/Apr/2018:20:24:44 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:24:45 +0530] "GET /papi-front/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:24:45 +0530] "GET /papi-front/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:24:45 +0530] "GET /papi-front/images/btightyellow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:05 +0530] "GET /papi-front/index.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:05 +0530] "GET /papi-front/css/forms.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:05 +0530] "GET /papi-front/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:05 +0530] "GET /papi-front/css/side-menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:05 +0530] "GET /papi-front/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:05 +0530] "GET /papi-front/js/utility.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:05 +0530] "GET /papi-front/css/scheduler.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:05 +0530] "GET /papi-front/view/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:05 +0530] "GET /papi-front/view/common/side_menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:05 +0530] "GET /papi-front/images/swirl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:05 +0530] "GET /papi-front/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:05 +0530] "GET /css/side-menu.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:10 +0530] "GET /papi-front/view/chatScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:11 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 500 15022
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:15 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 500 11314
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:15 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 500 15022
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:17 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 500 11314
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:17 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 500 15022
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:20 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 500 11314
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:20 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 500 15022
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:21 +0530] "GET /papi-front/view/group_registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:21 +0530] "GET /papi-front/view/groupView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:21 +0530] "GET /papi/group/getGroupList HTTP/1.1" 500 14838
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:24 +0530] "POST /papi/group/addGroup HTTP/1.1" 500 11239
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:25 +0530] "POST /papi/group/addGroup HTTP/1.1" 500 11239
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:27 +0530] "GET /papi-front/view/user_registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:28 +0530] "GET /papi-front/view/userAutoCreateView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:32 +0530] "GET /papi-front/view/scheduler.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:32 +0530] "GET /papi-front/view/scheduleCalender.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:32 +0530] "GET /images/btightyellow.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:32 +0530] "GET /papi-front/css/semantic.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:32 +0530] "GET /papi-front/css/themes/default/assets/fonts/icons.woff2 HTTP/1.1" 404 1152
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:32 +0530] "GET /papi-front/css/themes/default/assets/fonts/icons.woff HTTP/1.1" 404 1151
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:32 +0530] "GET /papi-front/css/themes/default/assets/fonts/icons.ttf HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:34 +0530] "GET /papi-front/view/reaction.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:36 +0530] "GET /papi-front/view/feedBackView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:36 +0530] "GET /papi-front/view/feedBackListView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:38 +0530] "GET /papi-front HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:39 +0530] "GET /papi-front/forgot_pass.html HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:41 +0530] "GET /papi-front HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:43 +0530] "GET /css/side-menu.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:46 +0530] "GET /papi-front HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:25:50 +0530] "GET /papi-front HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:27:05 +0530] "GET /papi-front/forgot_pass.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:27:08 +0530] "GET /papi-front/forgot_pass.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:27:13 +0530] "GET /papi-front HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:27:15 +0530] "GET /css/side-menu.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:27:46 +0530] "GET /papi-front/index.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:27:46 +0530] "GET /css/side-menu.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:27:57 +0530] "GET /papi/group/getGroupList HTTP/1.1" 500 14838
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:30:08 +0530] "POST /papi/group/addGroup HTTP/1.1" 500 11239
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:30:09 +0530] "POST /papi/group/addGroup HTTP/1.1" 500 11239
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:30:11 +0530] "GET /css/side-menu.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:30:17 +0530] "GET /papi/group/getGroupList HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:30:29 +0530] "POST /papi/group/addGroup HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:32:03 +0530] "GET /papi/group/getGroupList HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:36:14 +0530] "GET /papi-front/index.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:36:14 +0530] "GET /css/side-menu.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:36:16 +0530] "GET /papi-front/index.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:36:16 +0530] "GET /css/side-menu.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:36:20 +0530] "GET /papi/group/getGroupList HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:36:35 +0530] "GET /papi-front/index.html? HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:36:35 +0530] "GET /papi-front/css/main.css HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:36:35 +0530] "GET /papi-front/css/forms.css HTTP/1.1" 200 2228
