127.0.0.1 - - [06/Apr/2018:15:47:28 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:29 +0530] "GET /papi-front/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:29 +0530] "GET /papi-front/css/forms.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:29 +0530] "GET /papi-front/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:29 +0530] "GET /papi-front/css/side-menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:29 +0530] "GET /papi-front/css/scheduler.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:29 +0530] "GET /papi-front/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:29 +0530] "GET /papi-front/js/utility.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:29 +0530] "GET /papi-front/images/image1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:29 +0530] "GET /papi-front/images/btightyellow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:29 +0530] "GET /papi-front/view/common/side_menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:29 +0530] "GET /papi-front/view/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:29 +0530] "GET /css/side-menu.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:29 +0530] "GET /papi-front/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:32 +0530] "GET /papi-front/view/chatScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:33 +0530] "GET /papi-front/view/group_registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:47:33 +0530] "GET /papi-front/view/groupView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:48:15 +0530] "GET /papi-front/view/user_registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:51:24 +0530] "GET /css/side-menu.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:54:50 +0530] "GET /papi-front/ HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:54:50 +0530] "GET /css/side-menu.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:55:02 +0530] "GET /papi-front/ HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [06/Apr/2018:15:55:02 +0530] "GET /papi-front/css/main.css HTTP/1.1" 200 1831
