0:0:0:0:0:0:0:1 - - [04/May/2018:16:54:48 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:57:01 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:57:01 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:22 +0530] "GET /papi-ui/ HTTP/1.1" 200 5500
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:22 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:25 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:46 +0530] "GET /papi-ui/ HTTP/1.1" 200 5484
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:46 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:53 +0530] "GET /papi-ui/ HTTP/1.1" 200 5484
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:53 +0530] "GET /papi-ui/css/login.css HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:53 +0530] "GET /papi-ui/css/forms.css HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:53 +0530] "GET /papi-ui/css/side-menu.css HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:53 +0530] "GET /papi-ui/css/main.css HTTP/1.1" 200 4135
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:53 +0530] "GET /papi-ui/css/scheduler.css HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:53 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 200 2681
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:53 +0530] "GET /papi-ui/js/utility.js HTTP/1.1" 200 12668
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:53 +0530] "GET /papi-ui/images/image1.jpg HTTP/1.1" 200 269302
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:54 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:54 +0530] "GET /papi-ui/images/btightyellow.jpg HTTP/1.1" 200 103689
0:0:0:0:0:0:0:1 - - [04/May/2018:16:59:55 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:11:24 +0530] "GET /papi-ui/ HTTP/1.1" 200 5549
0:0:0:0:0:0:0:1 - - [04/May/2018:17:11:37 +0530] "GET /papi-ui/ HTTP/1.1" 200 5549
0:0:0:0:0:0:0:1 - - [04/May/2018:17:11:37 +0530] "GET /papi-ui/css/forms.css HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [04/May/2018:17:11:37 +0530] "GET /papi-ui/css/side-menu.css HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [04/May/2018:17:11:37 +0530] "GET /papi-ui/css/main.css HTTP/1.1" 200 4135
0:0:0:0:0:0:0:1 - - [04/May/2018:17:11:37 +0530] "GET /papi-ui/css/scheduler.css HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [04/May/2018:17:11:37 +0530] "GET /papi-ui/css/login.css HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [04/May/2018:17:11:37 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 200 2747
0:0:0:0:0:0:0:1 - - [04/May/2018:17:11:37 +0530] "GET /papi-ui/js/utility.js HTTP/1.1" 200 12668
0:0:0:0:0:0:0:1 - - [04/May/2018:17:11:38 +0530] "GET /papi-ui/images/image1.jpg HTTP/1.1" 200 269302
0:0:0:0:0:0:0:1 - - [04/May/2018:17:11:38 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [04/May/2018:17:11:38 +0530] "GET /papi-ui/images/btightyellow.jpg HTTP/1.1" 200 103689
0:0:0:0:0:0:0:1 - - [04/May/2018:17:11:59 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:11:59 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 304 -
127.0.0.1 - - [04/May/2018:17:18:44 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/May/2018:17:18:45 +0530] "GET /papi-ui/ HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [04/May/2018:17:18:45 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [04/May/2018:17:18:45 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 200 2748
0:0:0:0:0:0:0:1 - - [04/May/2018:17:18:45 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:18:47 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
